movieCd,movieNm,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20208983,시라이,Shirai-san,シライサン,98.0,2019,20200715,개봉,장편,,,,공포(호러),일본,,이토요 마리에|소메타니 쇼타,,(주)디스테이션
20195791,"어쩌다, 결혼",Trade Your Love,,87.0,2018,20190227,개봉,장편,,,,멜로/로맨스|코미디,한국,박수진|박호찬,김동욱|고성희|김의성|황보라|임예진,(주)비에이엔터테인먼트,CGV아트하우스
20195943,브라더 오브 더 이어,Brother of the Year,,123.0,2018,20190307,개봉,장편,,,,코미디,태국,위타야 통유용,우랏야 세뽀반|써니 수완메타논트|닉쿤,,(주)영화사오원
20195081,디어 마이 프렌드,Then Came You,Departures,96.0,2018,20191009,개봉,장편,,,,드라마,미국,피터 허칭스,에이사 버터필드|메이지 윌리암스|니나 도브레브,,(주)팝엔터테인먼트
20200491,빅샤크3: 젤리몬스터 대소동,Happy Little Submarine: Space Pals,,76.0,2019,20200729,개봉,장편,,,,애니메이션,중국,신우,정의한|원에스더|김진홍|김경희|손선영,,(주)팝엔터테인먼트
20196244,샤잠!,SHAZAM!,,131.0,2019,20190403,개봉,장편,,,,액션,미국,데이비드 F. 샌드버그,제커리 리바이|애셔 앤젤|잭 딜런 그레이저|마크 스트롱,,워너브러더스 코리아(주)
20184341,얼굴없는 보스,The Faceless Boss,,114.0,2019,20191121,개봉,장편,,,,액션|드라마,한국,송경용|송창용,천정명|진이한|이하율|곽희성|김도훈,(주)좋은 하늘,(주)좋은 하늘|(주)박수엔터테인먼트
20191845,난폭한 기록,Fist & Furious,,90.0,2015,20190711,개봉,장편,,,,범죄|액션,한국,하원준,정두홍|류덕환|서은아|정의갑|김사권,유한회사 영화사 반딧불|서울액션스쿨,(주)케이티알파
20175407,우상,Idol,,143.0,2018,20190320,개봉,장편,,,,스릴러,한국,이수진,한석규|설경구|천우희|강진경|이윤희,리 공동체 영화사|(주)바른손,CGV아트하우스
20197503,서스페리아,Suspiria,,152.0,2018,20190516,개봉,장편,,,,공포(호러),이탈리아|미국,루카 구아다니노,다코타 존슨|틸다 스윈튼|미아 고스|클로이 모레츠,,(주)홈초이스
20169323,안도 타다오,Samurai Architect Tadao Ando,,73.0,2016,20190425,개봉,장편,,,,다큐멘터리,일본,미즈노 시게노리,,,(주)영화사 진진
20196025,덤보,Dumbo,,111.0,2018,20190327,개봉,장편,,,,가족|판타지,미국,팀 버튼,콜린 파렐|마이클 키튼|대니 드비토|에바 그린,,월트디즈니컴퍼니코리아 유한책임회사
20185353,기방도령,HOMME FATALE,,110.0,2019,20190710,개봉,장편,,,,코미디|사극,한국,남대중,이준호|정소민|최귀화|예지원|공명,주식회사 브레인샤워|(주)제이와이피픽쳐스,판씨네마(주)
20197278,라스트 크리스마스,Last Christmas,Last Christmas,102.0,2019,20191205,개봉,장편,,,,코미디|멜로/로맨스,미국,폴 페이그,에밀리아 클라크|엠마 톰슨|헨리 골딩,,유니버설픽쳐스인터내셔널 코리아(유)
20184543,변신,Metamorphosis,,112.0,2019,20190821,개봉,장편,,,,공포(호러)|스릴러,한국,김홍선,배성우|성동일|장영남|김혜준|조이현,(주)다나크리에이티브,(주)에이스메이커무비웍스
20199950,조커,Joker,,122.0,2019,20191002,개봉,장편,,,,액션|드라마|스릴러,미국,토드 필립스,호아킨 피닉스|재지 비츠|로버트 드 니로|프란시스 콘로이|브렛 컬렌,,워너브러더스 코리아(주)
20200554,더 프롬,The Prom,,131.0,2020,20201202,개봉,장편,,,,코미디|뮤지컬,미국,라이언 머피,메릴 스트립|제임스 코든|니콜 키드먼|앤드류 라넬스|아리아나 데보스,,메가박스중앙(주) 플러스엠 엔터테인먼트
20197803,겨울왕국 2,Frozen 2,,103.0,2019,20191121,개봉,장편,,,,애니메이션,미국,제니퍼 리|크리스 벅,크리스틴 벨|이디나 멘젤|조시 게드|조나단 그로프,,월트디즈니컴퍼니코리아 유한책임회사
20196702,야구소녀,Baseball Girl,,104.0,2019,20200618,개봉,장편,,,,드라마,한국,최윤태,이주영|이준혁|유채민|염혜란|송영규,한국영화아카데미,(주)싸이더스|찬란
20205708,스케어리 스토리:어둠의 속삭임,Scary Stories to Tell in the Dark,,108.0,2019,20200325,개봉,장편,,,,판타지|공포(호러),미국,안드레 외브레달,딘 노리스,,(주)제이앤씨미디어그룹
20183002,해치지않아,SECRET ZOO,,117.0,2019,20200115,개봉,장편,,,,코미디,한국,손재곤,안재홍|강소라|박영규|김성오|전여빈,(주)디씨지플러스|(주)어바웃잇,(주)에이스메이커무비웍스
20184482,국제수사,The Golden Holiday,,105.0,2020,20200929,개봉,장편,,,,코미디|액션,한국,김봉한,곽도원|김대명|김희원|김상호|이유진,(주)영화사장춘,(주)쇼박스
20206710,파티마의 기적,Fatima,,113.0,2020,20201203,개봉,장편,,,,드라마,미국,마르코 폰테코르보,하비 케이틀|스테파니 길|고란 비스닉|조아큄 드 알메이다|조아나리베이로,,(주)디스테이션
20197394,체크 히어로,Checkered Ninja,Ternet ninja,75.0,2018,20191023,개봉,장편,,,,애니메이션|액션|어드벤처,덴마크,앤더스 마테센|토르비욘 크리스토퍼센,이다은|남도형,,예지림엔터테인먼트
20199581,닥터 두리틀,Dolittle,,101.0,2019,20200108,개봉,장편,,,,판타지|어드벤처,미국,스티븐 개건,로버트 다우니 주니어|톰 홀랜드|라미 말렉|안토니오 반데라스|마리옹 꼬띠아르,,유니버설픽쳐스인터내셔널 코리아(유)
20202366,800,The Eight Hundred,Ba Bai,148.0,2020,20201210,개봉,장편,,,,전쟁|액션,중국,관후,강무,,TCO(주)더콘텐츠온|(주)디스테이션
20209882,블루 아워,Blue Hour,,91.0,2019,20200722,개봉,장편,,,,드라마,일본,하코타 유코,카호|심은경|유스케 산타마리아|와타나베 다이치|시마다 큐사쿠,,오드
20185444,레고 무비2,The Lego Movie 2: The Second Part,,106.0,2019,20190206,개봉,장편,,,,애니메이션|액션|어드벤처,미국|덴마크|캐나다|노르웨이|호주,마이크 미첼,크리스 프랫|엘리자베스 뱅크스|알리슨 브리|채닝 테이텀|스테파니 비트리즈,,워너브러더스 코리아(주)
20204501,레미제라블: 뮤지컬 콘서트,Les Misérables: The Staged Concert,,166.0,2019,20200513,개봉,장편,,,,뮤지컬,미국,제임스 파우웰,마이클 볼|알피 보,,유니버설픽쳐스인터내셔널 코리아(유)
20173901,존 윅: 특별판,John Wick,,107.0,2014,20170330,개봉,장편,,,,액션|드라마,미국,데이빗 레이치|채드 스타헬스키,키아누 리브스,,와이드 릴리즈(주)|(주)제이앤씨미디어그룹|(유)조이앤시네마
20060347,판의 미로 - 오필리아와 세 개의 열쇠,Pan's Labyrinth,El Laberinto Del Fauno,118.0,2006,20061130,개봉,장편,,,,드라마|판타지|전쟁,스페인|멕시코,길예르모 델 토로,이바나 바쿠에로|더그 존스|세르지 로페즈,,(주)디스테이션|(주)프라임엔터테인먼트
20198962,결혼 이야기,Marriage Story,,136.0,2019,20191127,개봉,장편,,,,멜로/로맨스|드라마|코미디,영국,노아 바움백,스칼렛 요한슨|아담 드라이버|로라 던,,판씨네마(주)
20208122,카페 벨에포크,La belle epoque,,115.0,2019,20200520,개봉,장편,,,,코미디|드라마,프랑스,니콜라스 베도스,다니엘 오떼유|기욤 까네|도리아 틸리에|화니 아르당,,(주)이수C&E
20203936,마이 리틀 포니: 레인보우 로드 트립,My Little Pony: Rainbow Road trip,,60.0,2019,20201029,개봉,장편,,,,애니메이션|어드벤처,미국,,박지윤|이영란|김율|여민정|조경이,,(주)박수엔터테인먼트
20188462,감쪽같은 그녀,A Little Princess,,104.0,2019,20191204,개봉,장편,,,,드라마,한국,허인무,나문희|김수안|고규필|임한빈|강보경,(주)지오필름,메가박스중앙(주) 플러스엠 엔터테인먼트
20191141,시민 노무현,Citizen Roh,,98.0,2019,20190523,개봉,장편,,,,다큐멘터리,한국,백재호,노무현|유시민|김경수|김영호|김정호,엠앤씨에프|(주)영화사진,(주)삼백상회
20201803,소년 아메드,Young Ahmed,,84.0,2019,20200730,개봉,장편,,,,드라마,프랑스,장 피에르 다르덴|뤽 다르덴,클레어 보드손|이디르 벤 아디|올리비에 보노|미리암 아케듀|클레어 보드손,,(주)영화사 진진
20191844,킹 오브 프리즘 –샤이니 세븐 스타즈- IV 루이x신x언노운,KING OF PRISM -Shiny Seven Stars- IV ルヰ×シン×Unknown,,69.0,2019,20190530,개봉,장편,,,,애니메이션,일본,히시다 마사카즈,,,동우에이앤이(주)
20175771,라이온 킹,The Lion King,,118.0,2018,20190717,개봉,장편,,,,어드벤처|드라마|가족,미국,존 파브로,도날드 글로버|비욘세 놀즈|제임스 얼 존스|치웨텔 에지오포|세스 로건,,월트디즈니컴퍼니코리아 유한책임회사
20198597,교회오빠,A Job Who Is near Us,,84.0,2019,20190516,개봉,장편,,,,다큐멘터리,한국,이호경,이관희|오은주|이소연|이소연|김양진,KBS|커넥트픽쳐스(주),커넥트픽쳐스(주)
20112692,드라이브,Drive,,100.0,2011,20111117,개봉,장편,,,,액션|멜로/로맨스,미국,니콜라스 윈딩 레픈,라이언 고슬링|캐리 멀리건,,주식회사 풍경소리|판씨네마(주)
19940116,쉰들러 리스트,Schindler's List,,196.0,1993,19940305,개봉,장편,,,,드라마|사극|전쟁,미국,스티븐 스필버그,벤 킹슬리|리암 니슨|랄프 파인즈,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유)
20184047,토이 스토리 4,Toy Story 4,,99.0,2018,20190620,개봉,장편,,,,애니메이션|어드벤처|코미디,미국,조시 쿨리,톰 행크스|팀 알렌|애니 팟츠|토니 헤일|키아누 리브스,,월트디즈니컴퍼니코리아 유한책임회사
20189077,비뚤어진 집,Crooked House,,115.0,2017,20190919,개봉,장편,,,,범죄|드라마|미스터리,영국,질스 파겟-브레너,글렌 클로즈|테렌스 스탬프|맥스 아이언스|질리언 앤더슨|크리스티나 헨드릭스,,(주)팝엔터테인먼트
20196272,미드웨이,Midway,,138.0,2019,20191231,개봉,장편,,,,액션|드라마,미국,롤랜드 에머리히,에드 스크레인|패트릭 윌슨|우디 해럴슨|루크 에반스|아사노 타다노부,,(주)누리픽쳐스
20113252,톰보이,Tomboy,,81.0,2011,20200514,개봉,장편,,,,드라마,프랑스,셀린 시아마,조 허란,,(주)블루라벨픽쳐스|TCO(주)더콘텐츠온|(주)영화특별시에스엠씨
20181162,돌멩이,Stone Skipping,,106.0,2018,20201015,개봉,장편,,,,드라마,한국,김정식,김대명|송윤아|김의성|전채은|이중옥,(주)영화사테이크,(주)리틀빅픽쳐스
20184891,수퍼 소닉,Sonic the Hedgehog,,98.0,2019,20200212,개봉,장편,,,,애니메이션|액션|어드벤처,미국,제프 파울러,제임스 마스던|짐 캐리|벤 슈왈츠|티카 섬터,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트
20195968,더 룸,The Room,,99.0,2019,20190925,개봉,장편,,,,미스터리|스릴러,프랑스|룩셈부르크|벨기에,크리스티앙 볼크만,올가 쿠릴렌코,,(주)퍼스트런|(주)팬엔터테인먼트
20206062,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,Pokémon: Mewtwo Strikes Back - Evolution,ミュウツーの逆襲 EVOLUTION,96.0,2019,20200930,개봉,장편,,,,애니메이션,일본,유야마 쿠니히코|사카키바라 모토노리,이선호|홍시호,,(주)이수C&E
20183915,극장판 공룡메카드: 타이니소어의 섬,,,70.0,2018,20190110,개봉,장편,,,,애니메이션,한국,유재운|최신규,김서영|엄상현|안현서|김장|홍범기,(주)초이락컨텐츠팩토리,(주)넥스트엔터테인먼트월드(NEW)
20135428,어바웃 타임,ABOUT TIME,,123.0,2013,20131205,개봉,장편,,,,멜로/로맨스|코미디,영국,리차드 커티스,레이첼 맥아담스|도널 글리슨|빌 나이,,유니버설픽쳐스인터내셔널 코리아(유)
20190741,김복동,My Name Is KIM Bok-dong,,101.0,2019,20190808,개봉,장편,,,,다큐멘터리,한국,송원근,한지민,한국탐사저널리즘센터,(주)엣나인필름
20209304,다만 악에서 구하소서 파이널컷,DELIVER US FROM EVIL FINALCUT,,114.0,2020,20201028,개봉,장편,,,,액션,한국,홍원찬,황정민|이정재|박정민,(주)하이브미디어코프,(주)씨제이이엔엠
20191401,업사이드,The Upside,,125.0,2017,20190613,개봉,장편,,,,코미디|드라마,미국,닐 버거,브라이언 크랜스톤|케빈 하트|니콜 키드먼,,(주)디스테이션
20199951,애나벨 집으로,Annabelle Comes Home,,105.0,2019,20190626,개봉,장편,,,,공포(호러)|미스터리|스릴러,미국,게리 도버먼,패트릭 윌슨|베라 파미가|맥케나 그레이스|매디슨 아이스먼,,워너브러더스 코리아(주)
20177478,어벤져스: 인피니티 워,Avengers: Infinity War,,149.0,2018,20180425,개봉,장편,,,,액션|어드벤처|판타지|SF,미국,조 루소|안소니 루소,로버트 다우니 주니어|조슈 브롤린|마크 러팔로|톰 히들스턴|크리스 에반스,,월트디즈니컴퍼니코리아 유한책임회사
20180290,아쿠아맨,AQUAMAN,,143.0,2018,20181219,개봉,장편,,,,액션,미국|호주,제임스 완,제이슨 모모아|앰버 허드|니콜 키드먼|패트릭 윌슨|윌렘 데포,,워너브러더스 코리아(주)
20209466,죽이는 여자,Gothic Harvest,,82.0,2019,20200823,개봉,장편,,,,공포(호러),미국,애슐리 해밀턴,린 샤예,,(주)영화사 안다미로
20198146,콜레트,COLETTE,,112.0,2018,20190327,개봉,장편,,,,드라마,영국|미국|헝가리,워시 웨스트모어랜드,키이라 나이틀리|도미닉 웨스트|엘리너 톰린슨,,(주)넥스트엔터테인먼트월드(NEW)|(주)팬엔터테인먼트
20196585,슈퍼미니 2,Minuscule: Mandibles From Far Away,,92.0,2018,20190227,개봉,장편,,,,애니메이션|어드벤처|드라마,프랑스,토마스 자보|헬레네 지라드,,,(주)박수엔터테인먼트
20184462,봉오동 전투,The Battle: Roar to Victory,,134.0,2019,20190807,개봉,장편,,,,사극|액션|드라마,한국,원신연,유해진|류준열|조우진|키타무라 카즈키|이케우치 히로유키,(주)빅스톤픽쳐스|(주)더블유픽처스|(주)쇼박스,(주)쇼박스
20200471,스웨그,SWAG,,87.0,2020,20201210,개봉,장편,,,,드라마,한국,임성관,니엘|최규진|이보림|김선아|정애연,(주)퍼플스트로우필름,(주)영화사오원
20149120,인터스텔라,Interstellar,,169.0,2014,20141106,개봉,장편,,,,SF,미국|영국,크리스토퍼 놀란,매튜 매커너히|앤 해서웨이|마이클 케인|제시카 차스테인|케이시 애플렉,,워너브러더스 코리아(주)
20209002,지구 침공: 컨테이젼,Invasion Planet Earth,,96.0,2020,20200608,개봉,장편,,,,SF,영국|프랑스,,루시 드라이브,,(주)영화사 안다미로
20200200,추억의 검정고무신,The Precious memory of Gogo Brothers,,80.0,2020,20201119,개봉,장편,,,,애니메이션,한국,송정율,박지윤|오인실|유해무|손정아|박영재,(주)대교 미디어콘텐츠사업본부,(주)대교 미디어콘텐츠사업본부
20190280,날씨의 아이,Weathering With You,,112.0,2019,20191030,개봉,장편,,,,애니메이션|판타지|멜로/로맨스,일본,신카이 마코토,다이고 코타로|모리 나나|오구리 슌|심규혁|최한,,메가박스중앙(주) 플러스엠 엔터테인먼트|(주)미디어캐슬|워터홀컴퍼니(주)
20197092,로망,Romang,,111.0,2019,20190403,개봉,장편,,,,멜로/로맨스,한국,이창근,이순재|정영숙|조한철|배해선|이예원,(주)제이지픽쳐스|(주)메이스엔터테인먼트,(주)메리크리스마스
20204644,밤쉘: 세상을 바꾼 폭탄선언,Bombshell,,108.0,2019,20200708,개봉,장편,,,,드라마,미국|캐나다,제이 로치,샤를리즈 테론|니콜 키드먼|마고 로비,,(주)홈초이스
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,103.0,2018,20181219,개봉,장편,,,,애니메이션,일본,타카하시 와타루,박영남|강희선|김환진|여민정|정유미,,(주)씨제이이엔엠
20183085,질투의 역사,A History of Jealousy,,94.0,2017,20190314,개봉,장편,,,,멜로/로맨스|드라마,한국,정인봉,남규리|오지호|장소연|김승현|강경숙,(주)유앤정필름 ,와이드 릴리즈(주)|(주)스톰픽쳐스코리아
20191048,온워드: 단 하루의 기적,Onward,,102.0,2020,20200617,개봉,장편,,,,애니메이션|어드벤처|판타지,미국,댄 스캔론,톰 홀랜드|크리스 프랫|줄리아 루이스 드레퓌스|옥타비아 스펜서,,월트디즈니컴퍼니코리아 유한책임회사
20192721,캣츠,Cats,,,2019,20191224,개봉,장편,,,,뮤지컬|드라마,미국|영국,톰 후퍼,제니퍼 허드슨|테일러 스위프트|이드리스 엘바|프란체스카 헤이워드|주디 덴치,,유니버설픽쳐스인터내셔널 코리아(유)
20201051,작은 소망,The Last Wish,小小的愿望,107.0,2019,20200813,개봉,장편,,,,코미디,대만|중국,전우성,왕대륙|팽욱창,,(주)콘텐츠판다
20205525,장마,The Rainy Season,,57.0,2019,20200227,개봉,장편,,,,다큐멘터리,한국,음정현|이용남,이은택,영화사 무명,영화사 무명
20184572,타짜: 원 아이드 잭,Tazza: One Eyed Jack,,139.0,2019,20190911,개봉,장편,,,,범죄|드라마,한국,권오광,박정민|류승범|최유화|우현|윤제문,(주)싸이더스|(주)엠씨엠씨|(주)비에이엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트
20175547,스윙키즈,Swing Kids,,133.0,2018,20181219,개봉,장편,,,,드라마,한국,강형철,도경수|박혜수|자레드 그라임스|오정세|김민호,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW)
20196675,젊은이의 양지,Light for the Youth,,113.0,2019,20201028,개봉,장편,,,,드라마,한국,신수원,김호정|윤찬영|정하담|최준영|한재이,(주)준필름,(주)리틀빅픽쳐스
20177539,사바하,SVAHA : THE SIXTH FINGER,,122.0,2018,20190220,개봉,장편,,,,미스터리|스릴러,한국,장재현,이정재|박정민|이재인|유지태|정진영,(주)외유내강|(주)필름케이,(주)씨제이이엔엠
20195790,콜드 워,COLD WAR,Zimna wojna,88.0,2018,20190207,개봉,장편,,,,멜로/로맨스,폴란드,파벨 파블리코브스키,요안나 쿨릭|토마즈 코트,,아이 엠
20206826,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",,,80.0,2020,20200929,개봉,장편,,,,공연,한국,,김호중,씨제이포디플렉스 주식회사,씨제이포디플렉스 주식회사
20200583,요가학원 : 죽음의 쿤달리니,The Cursed Lesson,,93.0,2019,20201118,개봉,장편,,,,공포(호러),한국,김지한|전재홍,이채영|최철호|조정민|간미연|한세민,(주)트리니티엔터테인먼트|오퍼스픽쳐스(유),(주)스마일이엔티
20196284,윤희에게,Moonlit Winter,滿月,104.0,2019,20191114,개봉,장편,,,,멜로/로맨스,한국,임대형,김희애|나카무라 유코|김소혜|성유빈|김학선,영화사 달리기,(주)리틀빅픽쳐스
20198942,아이리시맨,The Irishman,,208.0,2019,20191120,개봉,장편,,,,범죄|드라마|스릴러,미국,마틴 스코세이지,로버트 드 니로|알 파치노|조 페시|하비 케이틀,,판씨네마(주)
20180868,뺑반,Hit-and-Run Squad,,133.0,2018,20190130,개봉,장편,,,,범죄|액션,한국,한준희,공효진|류준열|조정석|유연수|염정아,오리진필름(주)|(주)쇼박스,(주)쇼박스
20208393,극장판 요괴워치: 포에버 프렌즈,,映画 妖怪ウォッチ FOREVER FRIENDS,99.0,2019,20201015,개봉,장편,,,,애니메이션,일본,타카하시 시게하루,신용우|정혜원|박리나|김현지,,(주)씨제이이엔엠
20203701,사랑이 눈뜰 때,Blind,,105.0,2017,20200826,개봉,장편,,,,드라마|멜로/로맨스,미국,마이클 메일러,알렉 볼드윈|데미 무어,,(주)이놀미디어
20195789,빠삐용,Papillon,,133.0,2017,20190227,개봉,장편,,,,범죄|드라마,미국,마이클 노어,찰리 허냄|라미 말렉,,(주)드림팩트엔터테인먼트
20198961,더 킹: 헨리 5세,The King,,140.0,2019,20191023,개봉,장편,,,,드라마,네덜란드,데이비드 미쇼,티모시 샬라메|조엘 에저튼|숀 해리스|릴리 로즈 멜로디 뎁,,판씨네마(주)
20206588,극장판 미니특공대: 햄버거괴물의 습격,,,86.0,2020,20200930,개봉,장편,,,,애니메이션|액션,한국,이영준,엄상현|양정화|이소영|전태열|신용우,(주)에스에이엠지엔터테인먼트,(주)리틀빅픽쳐스
20010013,봄날은 간다,One Fine Spring Day,,113.0,2001,20010928,개봉,장편,,,,드라마,한국,허진호,유지태|이영애|박인환|신신애|김태진,(주)싸이더스|싸이더스 우노 필름,(주)시네마서비스
20201221,컨택트 2020,Proximity,,119.0,2020,20200715,개봉,장편,,,,SF|미스터리,미국,,,,위드 라이언 픽쳐스
20193807,예스터데이,YESTERDAY,,116.0,2019,20190918,개봉,장편,,,,드라마,미국|영국,대니 보일,히메쉬 파텔|릴리 제임스|케이트 맥키넌|에드 시런|제임스 코든,,유니버설픽쳐스인터내셔널 코리아(유)
20180939,남산의 부장들,The Man Standing Next,,113.0,2019,20200122,개봉,장편,,,,드라마,한국,우민호,이병헌|이성민|곽도원|이희준|김소진,(주)하이브미디어코프,(주)쇼박스
20185161,나를 찾아줘,Bring Me Home,,107.0,2019,20191127,개봉,장편,,,,스릴러,한국,김승우,이영애|유재명|이원근|박해준|백주희,(주)26컴퍼니|(주)케이웍스스튜디오,워너브러더스 코리아(주)
20188941,악인전,"The Gangster, The Cop, The Devil",,109.0,2019,20190515,개봉,장편,,,,범죄|액션,한국,이원태,마동석|김무열|김성규|강문봉|문동혁,(주)비에이엔터테인먼트,(주)에이스메이커무비웍스|(주)키위미디어그룹
20195005,경계선,Border,Gräns,110.0,2018,20191024,개봉,장편,,,,판타지|멜로/로맨스,스웨덴|덴마크,알리 아바시,에바 멜란데르|에로 밀로노프,,(주)제이앤씨미디어그룹
